,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
3087,CA,Round Valley CDP,76.6,8.7,4.8,0.7,15.9
3088,CA,Rouse CDP,44.7,5,1.2,9.9,63.8
3089,CA,Rowland Heights CDP,23.5,1.6,0.4,59.8,27
3090,CA,Rubidoux CDP,49.4,5.4,1.1,2.5,68
3091,CA,Running Springs CDP,89,0.5,1,1,14.3
3092,CA,Ruth CDP,87.2,0,4.6,0.5,1
3093,CA,Rutherford CDP,75,0,0,0,42.7
3094,CA,Sacramento city,45,14.6,1.1,18.3,26.9
3095,CA,St. Helena city,77.8,0.4,0.6,1.7,32.9
3096,CA,Salida CDP,61.8,3.2,0.8,4.9,46.8
3097,CA,Salinas city,45.8,2,1.3,6.3,75
3098,CA,Salmon Creek CDP,100,0,0,0,1.2
3099,CA,Salton City CDP,60.1,2.1,1.6,1.6,62.9
3100,CA,Salton Sea Beach CDP,73.2,1.4,0.9,0.5,54.3
3101,CA,Samoa CDP,76.7,0.4,3.5,0,20.2
3102,CA,San Andreas CDP,88.1,0.8,1.7,1,9.2
3103,CA,San Anselmo town,90.3,0.9,0.3,3.5,5.8
3104,CA,San Antonio Heights CDP,82,2,0.7,8.4,18.2
3105,CA,San Ardo CDP,48.7,0.2,0.6,1,70.2
3106,CA,San Bernardino city,45.6,15,1.3,4,60
3107,CA,San Bruno city,49.5,2.3,0.6,25.4,29.2
3108,CA,San Buenaventura (Ventura) city,76.6,1.6,1.2,3.4,31.8
3109,CA,San Carlos city,79.2,0.8,0.2,11.5,10.1
3110,CA,San Clemente city,86,0.6,0.6,3.7,16.8
3111,CA,Sand City city,66.8,3.9,0.9,4.8,36.8
3112,CA,San Diego city,58.9,6.7,0.6,15.9,28.8
3113,CA,San Diego Country Estates CDP,90.1,0.9,0.9,1.5,11.1
3114,CA,San Dimas city,72,3.2,0.7,10.5,31.4
3115,CA,San Fernando city,51,0.9,1.3,1,92.5
3116,CA,San Francisco city,48.5,6.1,0.5,33.3,15.1
3117,CA,San Gabriel city,25.4,1,0.6,60.7,25.7
3118,CA,Sanger city,59.6,0.9,1.3,3.1,80.5
3119,CA,San Geronimo CDP,94.4,0.7,0.4,0.7,4.7
3120,CA,San Jacinto city,57.2,6.6,1.8,3,52.3
3121,CA,San Joaquin city,49.1,0.8,1.3,0.9,95.6
3122,CA,San Jose city,42.8,3.2,0.9,32,33.2
3123,CA,San Juan Bautista city,60.4,0.6,3.1,2.8,48.7
3124,CA,San Juan Capistrano city,77.1,0.6,0.8,2.8,38.7
3125,CA,San Leandro city,37.6,12.3,0.8,29.7,27.4
3126,CA,San Lorenzo CDP,47.4,4.8,1,21.6,37.7
3127,CA,San Lucas CDP,42,0,1.5,2.2,83.3
3128,CA,San Luis Obispo city,84.5,1.2,0.6,5.2,14.7
3129,CA,San Marcos city,63.5,2.3,0.7,9,36.6
3130,CA,San Marino city,41.3,0.4,0,53.5,6.5
3131,CA,San Martin CDP,61.6,0.4,1,6.7,46.2
3132,CA,San Mateo city,57.8,2.4,0.5,18.9,26.6
3133,CA,San Miguel CDP (Contra Costa County),88,0.9,0.1,5.6,5.9
3134,CA,San Miguel CDP (San Luis Obispo County),70.1,2.8,2.5,0.8,51.2
3135,CA,San Pablo city,32.2,15.8,0.8,14.9,56.5
3136,CA,San Pasqual CDP,65.9,3.1,0.3,21.5,17.7
3137,CA,San Rafael city,70.6,2,1.2,6.1,30
3138,CA,San Ramon city,53.6,2.8,0.3,35.6,8.7
3139,CA,San Simeon CDP,58.4,0.9,1.1,1.9,55.8
3140,CA,Santa Ana city,45.9,1.5,1,10.5,78.2
3141,CA,Santa Barbara city,75.1,1.6,1,3.5,38
3142,CA,Santa Clara city,45,2.7,0.5,37.7,19.4
3143,CA,Santa Clarita city,70.9,3.2,0.6,8.5,29.5
3144,CA,Santa Cruz city,74.5,1.8,0.7,7.7,19.4
3145,CA,Santa Fe Springs city,58.6,2.3,1.4,4.2,81
3146,CA,Santa Margarita CDP,85.5,0.6,2.2,2.7,16.4
3147,CA,Santa Maria city,56.2,1.7,1.8,5.1,70.4
3148,CA,Santa Monica city,77.6,3.9,0.4,9,13.1
3149,CA,Santa Nella CDP,60.3,1.6,1.8,2.2,70.1
3150,CA,Santa Paula city,63,0.5,1.6,0.7,79.5
3151,CA,Santa Rosa city,71,2.4,1.7,5.2,28.6
3152,CA,Santa Rosa Valley CDP,87.1,0.7,0.4,5.6,10.6
3153,CA,Santa Susana CDP,87.2,1.6,0.2,2.2,15
3154,CA,Santa Venetia CDP,77.7,2.1,0.6,7.1,19
3155,CA,Santa Ynez CDP,85.9,0.3,5.3,1.2,14.5
3156,CA,Santee city,82.5,2,0.8,3.8,16.3
3157,CA,Saranap CDP,82.2,1.3,0.3,8.7,8.4
3158,CA,Saratoga city,53.9,0.3,0.1,41.4,3.5
3159,CA,Saticoy CDP,40.1,0.9,2.8,0.2,87
3160,CA,Sattley CDP,98,0,2,0,2
3161,CA,Sausalito city,90.6,0.9,0.2,4.8,4.1
3162,CA,Scotia CDP,79.3,0.4,4.1,0.4,17.6
3163,CA,Scotts Valley city,86,0.9,0.5,5.1,10
3164,CA,Seacliff CDP,84.4,0.9,1.2,3.1,14.8
3165,CA,Seal Beach city,83.4,1.2,0.3,9.6,9.6
3166,CA,Sea Ranch CDP,93.5,1.1,0.2,0.8,9
3167,CA,Searles Valley CDP,80.8,4,3.2,0.9,16.8
3168,CA,Seaside city,48.4,8.4,1.1,9.7,43.4
3169,CA,Sebastopol city,88.2,1,0.8,1.6,12
3170,CA,Seeley CDP,42.9,1.1,0.4,1.2,85.6
3171,CA,Selma city,55.4,1.2,2.1,4.6,77.6
3172,CA,Sequoia Crest CDP,100,0,0,0,0
3173,CA,Sereno del Mar CDP,93.7,0.8,0,0.8,6.3
